Date,Open,High,Low,Close,Volume,ticker,company
,BAC,BAC,BAC,BAC,BAC,,
2018-01-03,25.191648499609183,25.225350473404625,25.014717958178796,25.10739517211914,57865700,BAC,Bank of America
2018-01-04,25.250627904531814,25.64661810174754,25.1748000628096,25.435985565185547,76512500,BAC,Bank of America
2018-01-05,25.58763988740371,25.629765749675585,25.31802890506836,25.553937911987305,56445200,BAC,Bank of America
2018-01-08,25.4696818318094,25.50338380358876,25.318026172799204,25.377004623413086,42914800,BAC,Bank of America
2018-01-09,25.444406793245648,25.730867123499287,25.38542834301823,25.50338363647461,69479100,BAC,Bank of America
2018-01-10,25.587638087067784,25.89094780948152,25.53708512750006,25.73929214477539,63532800,BAC,Bank of America
2018-01-11,25.831974029541016,25.85725051232484,25.65504347105039,25.831974029541016,59318300,BAC,Bank of America
2018-01-12,26.01732370295287,26.286934632210027,25.924646502800343,26.27850914001465,66371600,BAC,Bank of America
2018-01-16,26.741899807263998,26.784027267997487,26.143704327833216,26.320634841918945,104467900,BAC,Bank of America
2018-01-17,26.118430627687754,26.362765104918942,25.56236094288396,26.27008628845215,124382900,BAC,Bank of America
2018-01-18,26.396465134544194,26.716625831089296,26.295360826320316,26.522844314575195,76463800,BAC,Bank of America
2018-01-19,26.60710008926403,26.741904774654966,26.505995771721523,26.725053787231445,66491000,BAC,Bank of America
2018-01-22,26.68292453966502,26.91040802001953,26.607096712880182,26.91040802001953,53848800,BAC,Bank of America
2018-01-23,26.843003343054967,27.07048680355502,26.784026506702716,26.8935546875,56531400,BAC,Bank of America
2018-01-24,26.969381189752188,27.137887815706208,26.80930166279398,27.036785125732422,81585000,BAC,Bank of America
2018-01-25,27.163165898697077,27.171589783696323,26.90198046776852,27.036785125732422,62265800,BAC,Bank of America
2018-01-26,27.053639180910437,27.129467010498047,26.918834507643243,27.129467010498047,52699900,BAC,Bank of America
2018-01-29,27.171599740274413,27.340106427974888,27.11262288167891,27.196874618530273,59126500,BAC,Bank of America
2018-01-30,26.918836013180748,27.12946852781597,26.83458268592695,26.8598575592041,60555800,BAC,Bank of America
2018-01-31,27.003088156319563,27.205296787694806,26.91883643474489,26.960962295532227,65734100,BAC,Bank of America
2018-02-01,26.9609619140625,27.382226943969727,26.927259940310616,27.382226943969727,62367400,BAC,Bank of America
2018-02-02,27.33167453137655,27.525456063339785,26.843008758164302,26.91883659362793,96971900,BAC,Bank of America
2018-02-05,26.21953129383476,26.944105917805047,24.55974635610432,25.49495506286621,155908300,BAC,Bank of America
2018-02-06,24.778808180828687,26.36276554527184,24.686129362813826,26.286937713623047,165878400,BAC,Bank of America
2018-02-07,26.219537118212205,26.74190487429884,26.000479101886043,26.329065322875977,101180500,BAC,Bank of America
2018-02-08,26.379620713016337,26.438597571240123,25.048423030969172,25.056848526000977,128981300,BAC,Bank of America
2018-02-09,25.419133224318948,25.789846918906246,24.54290114747599,25.553937911987305,143071100,BAC,Bank of America
2018-02-12,25.798268926502598,26.489143259191053,25.73086659177686,26.219533920288086,95055100,BAC,Bank of America
2018-02-13,26.152132599856944,26.455442314387255,25.916223615668052,26.27008628845215,76727300,BAC,Bank of America
2018-02-14,26.261662400271803,26.986237169205197,26.168983578141365,26.960962295532227,97251500,BAC,Bank of America
2018-02-15,27.289545515455224,27.356949456518105,26.85143114753532,27.137889862060547,68117400,BAC,Bank of America
2018-02-16,26.960960683261575,27.18001707465441,26.893558345833362,26.935684204101562,62137800,BAC,Bank of America
2018-02-20,26.927261951008333,27.095768618353283,26.750331396594945,26.901987075805664,58573900,BAC,Bank of America
2018-02-21,26.79245434823271,27.27269620887673,26.767179475776814,26.85143280029297,72210300,BAC,Bank of America
2018-02-22,26.952535974106926,27.078915159585684,26.615524277164067,26.699777603149414,64749700,BAC,Bank of America
2018-02-23,26.792456939385055,27.011516568511855,26.758756570518464,26.986238479614258,53626300,BAC,Bank of America
2018-02-26,27.10418684921128,27.3316703205552,27.00308415550177,27.3148193359375,61796300,BAC,Bank of America
2018-02-27,27.23057321939664,27.6771131544866,27.23057321939664,27.23900032043457,69235500,BAC,Bank of America
2018-02-28,27.373803123214493,27.609710512049528,27.036789812881192,27.04521369934082,72044000,BAC,Bank of America
2018-03-01,27.121325969668135,27.358118555782358,26.520885782845912,26.62236785888672,90547100,BAC,Bank of America
2018-03-02,26.31792055031367,26.799964453833578,25.903530290171016,26.749221801757812,82739100,BAC,Bank of America
2018-03-05,26.512435163767517,27.35812525221107,26.36021039941785,27.172075271606445,70543100,BAC,Bank of America
2018-03-06,27.31583732769337,27.332751546382422,27.01984656577833,27.1551570892334,50832600,BAC,Bank of America
2018-03-07,26.808425773895316,27.25664131310901,26.706942066830088,27.214357376098633,52763900,BAC,Bank of America
2018-03-08,27.222809207179584,27.290466078131413,26.901447135301325,27.23126792907715,53139800,BAC,Bank of America
2018-03-09,27.459603360072947,27.67948172518475,27.400405214617578,27.6710262298584,73905800,BAC,Bank of America
2018-03-12,27.645659303382715,27.950108818246186,27.60337536544227,27.77251434326172,60322800,BAC,Bank of America
2018-03-13,27.88244947380575,27.899363690742398,27.315834497627552,27.3665771484375,63347500,BAC,Bank of America
2018-03-14,27.527256287116792,27.527256287116792,27.002928486939805,27.180522918701172,58011400,BAC,Bank of America
2018-03-15,27.30737570446602,27.3496596286728,27.0029262884866,27.146692276000977,41964200,BAC,Bank of America
2018-03-16,27.15515123644371,27.5441685042744,27.12978152690678,27.205890655517578,83447600,BAC,Bank of America
2018-03-19,27.172068714371832,27.248181078179034,26.791506895335832,27.04521369934082,57363200,BAC,Bank of America
2018-03-20,27.112870567639238,27.23126686110443,26.960644226996315,27.04521369934082,44784500,BAC,Bank of America
2018-03-21,27.062129590900362,27.442691433483848,26.79150855307594,26.952190399169922,64546300,BAC,Bank of America
2018-03-22,26.58854501162115,26.630828947452862,25.72593917121268,25.835878372192383,110271900,BAC,Bank of America
2018-03-23,25.95427883339781,25.971191441566706,24.567343342726826,24.668827056884766,115740200,BAC,Bank of America
2018-03-26,25.277719936579256,25.844333340121526,25.07475415795602,25.74285125732422,83297000,BAC,Bank of America
2018-03-27,25.920445889065256,25.937360107325354,24.702649595824866,24.964815139770508,85821800,BAC,Bank of America
2018-03-28,25.193153494409454,25.336919517651687,24.533513466867106,24.854875564575195,79396100,BAC,Bank of America
2018-03-29,25.007100793297617,25.489144755682677,24.787220779870815,25.36229133605957,65678300,BAC,Bank of America
2018-04-02,25.201608685920842,25.421488692440477,24.31363316342464,24.787220001220703,86644200,BAC,Bank of America
2018-04-03,24.981731490404883,25.074756472718526,24.609626722063986,25.024015426635742,69698700,BAC,Bank of America
2018-04-04,24.52505262284382,25.345372767814208,24.482768694567547,25.26926040649414,66640800,BAC,Bank of America
2018-04-05,25.522968761920513,25.83587370177962,25.472227725489287,25.64136505126953,55765500,BAC,Bank of America
2018-04-06,25.37919824967704,25.61599241436295,24.837956288141566,25.05783462524414,79687600,BAC,Bank of America
2018-04-09,25.218521492489785,25.903531188996208,25.16778045168191,25.260807037353516,65917500,BAC,Bank of America
2018-04-10,25.776676177978516,25.861245649419864,25.5652533058894,25.776676177978516,60540500,BAC,Bank of America
